	ACTIVITY	ALogP98	ES_Sum_aaCH	ES_Sum_aasC	ES_Sum_dO	ES_Sum_dsCH	ES_Sum_dssC	ES_Sum_sCH3	ES_Sum_ssCH2	ES_Sum_ssO	ES_Sum_sssCH	ES_Count_aaCH	ES_Count_aasC	ES_Count_dsCH	ES_Count_sCH3	ES_Count_ssCH2	ES_Count_sssCH	LogD	Molecular_Weight	Molecular_Mass	Molecular_Solubility	VSA_TotalArea	Num_Atoms	Num_Bonds	Num_Hydrogens	Num_ExplicitHydrogens	Num_ExplicitAtoms	Num_ExplicitBonds	Num_RingBonds	Num_RotatableBonds	Num_AromaticBonds	Num_Rings	Num_AromaticRings	Num_RingAssemblies	Num_Rings6	Num_Chains	Num_ChainAssemblies	Num_StereoBonds	Num_SingleBonds	Num_DoubleBonds	Num_AliphaticSingleBonds	Num_AliphaticDoubleBonds	Num_AtomClasses	Organic_Count	Molecular_SurfaceArea	Molecular_FractionalPolarSurfaceArea	Molecular_SASA	Molecular_FractionalPolarSASA	Molecular_SAVol	BIC	CIC	E_ADJ_equ	E_ADJ_mag	E_DIST_equ	E_DIST_mag	IAC_Mean	IAC_Total	IC	SIC	V_ADJ_equ	V_ADJ_mag	V_DIST_equ	CHI_0	CHI_1	CHI_2	CHI_3_C	CHI_3_P	CHI_V_0	CHI_V_1	CHI_V_2	CHI_V_3_C	CHI_V_3_P	JX	JY	Wiener	Zagreb	Kappa_1	Kappa_1_AM	Kappa_2	Kappa_2_AM	Kappa_3	Kappa_3_AM	PHI	SC_0	SC_1	SC_2	SC_3_C	SC_3_P
362	0	6.128	0.0	0.0	11.18	0.0	-0.064	6.007	13.731	5.136	0.007	0	0	0	3	11	1	6.128	256.424	256.24	-6.126	376.91	18	17	32	32	50	49	0	13	0	0	0	0	0	35	1	0	16	1	16	1	17	18	299.93	0.087	542.534	0.091	459.141	0.53077	1.95662	156.739	186.117	384.911	630.919	1.12385	56.1928	2.21329	0.53077	156.964	172.974	467.0925	13.64	8.68073	6.5455	0.56903	4.40109	12.672	7.8474	5.50417	0.33678	3.21361	2.98571	3.0751	915.0	70	18.0	17.63	13.4321	13.0709	13.2872	12.9234	12.8022	18.0	17.0	18.0	2.0	17.0
371	0	0.369	0.0	0.0	9.821	0.0	-0.211	3.171	0.481	4.402	0.0	0	0	0	2	1	0	0.369	88.1051	88.0524	-0.365	120.191	6	5	8	8	14	13	0	2	0	0	0	0	0	10	1	0	4	1	4	1	6	6	106.85	0.246	254.868	0.194	221.463	1.0	-1e-05	24.2738	33.2193	47.7577	104.378	1.37878	19.303	2.58496	1.0	30.6866	33.2193	80.6592	4.99156	2.77005	2.18252	0.40824	0.86602	4.0236	1.90403	0.92459	0.08333	0.3476	2.60527	2.90495	32.0	20	6.0	5.63	3.2	2.84598	5.33333	5.01022	2.67048	6.0	5.0	5.0	1.0	3.0
385	0	2.125	0.0	0.0	10.357	0.0	-0.175	5.664	2.759	4.846	0.545	0	0	0	3	3	1	2.125	144.211	144.115	-1.941	205.764	10	9	16	16	26	25	0	5	0	0	0	0	0	19	1	0	8	1	8	1	8	10	172.37	0.152	344.295	0.143	295.048	0.87958	0.4	65.3143	86.4386	203.179	483.752	1.2389	32.2114	2.92192	0.87958	68.0077	75.0586	274.288	7.98312	4.7019	3.65371	0.61237	2.30696	7.01516	3.83588	2.4851	0.28745	1.67699	3.20396	3.39045	138.0	38	10.0	9.63	5.76	5.4176	5.53086	5.18252	5.21715	10.0	9.0	10.0	2.0	9.0
387	0	1.492	0.0	0.0	10.42	0.0	-0.088	3.768	1.922	4.643	0.0	0	0	0	2	3	0	1.492	116.158	116.084	-1.056	162.978	8	7	12	12	20	19	0	4	0	0	0	0	0	14	1	0	6	1	6	1	8	8	138.67	0.189	304.427	0.162	262.487	0.75	0.75	42.2929	53.303	115.927	255.094	1.29546	25.9092	2.25	0.75	48.5042	53.303	167.155	6.40577	3.80806	2.68252	0.28867	1.56294	5.43781	2.96469	1.55502	0.05892	0.75944	2.87815	3.1129	75.0	28	8.0	7.63	5.14285	4.78082	5.0	4.63	4.55971	8.0	7.0	7.0	1.0	6.0
391	0	2.496	0.0	0.0	11.175	0.0	0.02	1.861	6.287	4.942	0.211	0	0	0	1	6	1	2.496	156.222	156.115	-2.125	205.57	11	11	16	16	27	27	6	3	0	1	0	1	1	18	6	0	10	1	10	1	9	11	167.24	0.157	354.967	0.139	304.803	0.79369	0.61408	90.8347	122.211	311.499	797.641	1.2538	33.8526	2.84535	0.82249	82.7686	98.1075	333.183	8.10444	5.34253	4.16404	0.40236	3.19858	7.13648	4.5092	3.08698	0.19245	2.2251	2.18616	2.29099	164.0	48	9.0909	8.72407	4.79289	4.49615	2.84444	2.6193	3.56588	11.0	11.0	13.0	2.0	15.0
393	0	3.762	0.0	0.0	10.835	7.14	-0.273	3.982	5.253	4.727	0.0	0	0	4	2	5	0	3.762	196.286	196.146	-4.128	274.651	14	13	20	20	34	33	0	8	0	0	0	0	0	22	1	2	10	3	10	3	14	14	226.5	0.116	440.186	0.112	380.985	0.80898	0.57142	104.676	122.211	569.684	630.919	1.22104	41.5156	3.23592	0.84991	110.675	122.211	684.01	10.6484	6.80806	4.80384	0.28867	3.08195	9.16143	5.30806	3.03509	0.04811	1.74044	3.35208	3.47674	428.0	52	14.0	13.11	11.0769	10.1926	11.0	10.11	9.54461	14.0	13.0	13.0	1.0	12.0
394	0	4.23	0.0	0.0	10.956	0.0	-0.041	4.072	9.83	4.848	0.0	0	0	0	2	9	0	4.23	200.318	200.178	-4.104	291.337	14	13	24	24	38	37	0	10	0	0	0	0	0	26	1	0	12	1	12	1	14	14	234.46	0.112	453.107	0.109	385.557	0.59646	1.53641	104.676	122.211	569.684	630.919	1.16743	44.3626	2.27094	0.59646	110.675	122.211	684.01	10.6484	6.80806	4.80384	0.28867	3.08195	9.68045	5.96468	3.67634	0.05892	2.28977	2.93232	3.04173	428.0	52	14.0	13.63	11.0769	10.7092	11.0	10.63	10.4261	14.0	13.0	13.0	1.0	12.0
409	0	2.861	0.0	0.0	10.783	0.0	-0.053	3.994	5.657	4.783	0.0	0	0	0	2	6	0	2.861	158.238	158.131	-2.516	227.158	11	10	18	18	29	28	0	7	0	0	0	0	0	20	1	0	9	1	9	1	11	11	186.56	0.14	378.767	0.13	324.022	0.71737	0.97771	72.1928	86.4386	295.43	624.437	1.21701	35.2935	2.48171	0.71737	78.2645	86.4386	376.954	8.52709	5.30806	3.74318	0.28867	2.33195	7.55913	4.46469	2.61568	0.05892	1.53977	2.92438	3.07826	202.0	40	11.0	10.63	8.1	7.73384	7.90123	7.52755	7.4737	11.0	10.0	10.0	1.0	9.0
411	0	2.405	0.0	0.0	10.695	0.0	-0.06	3.947	4.333	4.749	0.0	0	0	0	2	5	0	2.405	144.211	144.115	-2.007	205.764	10	9	16	16	26	25	0	6	0	0	0	0	0	18	1	0	8	1	8	1	10	10	170.6	0.154	353.987	0.139	303.51	0.75917	0.79999	61.9006	75.0586	225.418	481.064	1.2389	32.2114	2.52192	0.75917	68.0077	75.0586	296.527	7.81999	4.80806	3.38962	0.28867	2.08195	6.85203	3.96469	2.26212	0.05892	1.28977	2.91977	3.09561	150.0	36	10.0	9.63	7.11111	6.74587	7.0	6.63	6.49627	10.0	9.0	9.0	1.0	8.0
413	0	2.382	0.0	0.0	10.608	3.31	-0.24	3.862	2.462	4.662	0.0	0	0	2	2	3	0	2.382	142.196	142.099	-2.115	197.421	10	9	14	14	24	23	0	5	0	0	0	0	0	16	1	1	7	2	7	2	10	10	166.58	0.157	347.527	0.142	301.224	0.84462	0.4	61.9006	75.0586	225.418	481.064	1.28067	30.7361	2.92192	0.87958	68.0077	75.0586	296.527	7.81999	4.80806	3.38962	0.28867	2.08195	6.59251	3.64139	1.94309	0.04811	0.99587	3.21405	3.40549	150.0	36	10.0	9.36999	7.11111	6.48947	7.0	6.36999	6.08063	10.0	9.0	9.0	1.0	8.0
424	0	1.499	0.0	0.0	10.52	0.0	-0.118	5.44	0.483	4.664	0.009	0	0	0	3	1	1	1.499	116.158	116.084	-1.007	162.978	8	7	12	12	20	19	0	3	0	0	0	0	0	15	1	0	6	1	6	1	7	8	140.28	0.187	294.735	0.168	254.024	0.91666	0.25	44.6558	64.0	106.166	256.034	1.29546	25.9092	2.75	0.91666	48.5042	53.303	157.394	6.56891	3.68073	3.00997	0.56903	1.88208	5.60095	2.8474	1.90674	0.33678	0.758	3.13881	3.39122	70.0	30	8.0	7.63	3.9375	3.60978	3.67346	3.33864	3.44283	8.0	7.0	8.0	2.0	7.0
426	0	1.744	0.0	0.0	10.631	0.0	-0.091	5.811	1.027	4.713	0.406	0	0	0	3	2	1	1.744	130.185	130.099	-1.325	184.371	9	8	14	14	23	22	0	4	0	0	0	0	0	17	1	0	7	1	7	1	8	9	156.36	0.168	319.515	0.154	274.536	0.92989	0.22222	54.8575	75.0586	154.826	359.201	1.26467	29.0875	2.9477	0.92989	58.0739	64.0	215.824	7.27602	4.1639	3.52339	0.69692	1.65524	6.30806	3.32053	2.40299	0.46717	0.88024	3.10978	3.32382	102.0	34	9.0	8.63	4.8395	4.50329	5.87755	5.50192	4.31815	9.0	8.0	9.0	2.0	7.0
427	0	5.142	0.0	0.0	11.027	0.0	-0.037	4.1	12.699	4.874	0.0	0	0	0	2	11	0	5.142	228.371	228.209	-5.19	334.124	16	15	28	28	44	43	0	12	0	0	0	0	0	30	1	0	14	1	14	1	16	16	266.39	0.098	502.666	0.098	426.581	0.53125	1.875	127.465	147.207	808.327	630.919	1.14332	50.3061	2.125	0.53125	133.433	147.207	945.623	12.0626	7.80806	5.51094	0.28867	3.58195	11.0947	6.96468	4.38344	0.05892	2.78977	2.93931	3.03019	647.0	60	16.0	15.63	13.0667	12.6984	13.0	12.63	12.4047	16.0	15.0	15.0	1.0	14.0
451	0	6.054	0.0	0.0	11.081	0.0	-0.034	4.119	15.604	4.894	0.0	0	0	0	2	13	0	6.054	256.424	256.24	-6.286	376.91	18	17	32	32	50	49	0	14	0	0	0	0	0	34	1	0	16	1	16	1	18	18	298.32	0.088	552.226	0.089	467.604	0.47748	2.17884	151.02	172.974	384.911	630.919	1.12385	56.1928	1.99107	0.47748	156.964	172.974	467.0925	13.4768	8.80805	6.21805	0.28867	4.08195	12.5089	7.96468	5.09055	0.05892	3.28977	2.94751	3.02494	930.0	68	18.0	17.63	15.0588	14.6901	15.0	14.63	14.3882	18.0	17.0	17.0	1.0	16.0
453	0	3.773	0.0	0.0	10.909	0.0	-0.044	4.053	8.416	4.83	0.0	0	0	0	2	8	0	3.774	186.291	186.162	-3.568	269.944	13	12	22	22	35	34	0	9	0	0	0	0	0	24	1	0	11	1	11	1	13	13	218.49	0.12	428.327	0.115	365.045	0.63393	1.35458	93.6032	110.039	467.323	975.213	1.18181	41.3637	2.34585	0.63393	99.6227	110.039	570.477	9.94131	6.30806	4.45028	0.28867	2.83195	8.97334	5.46469	3.32278	0.05892	2.03977	2.92949	3.05094	340.0	48	13.0	12.63	10.0833	9.71598	9.91735	9.54477	9.43945	13.0	12.0	12.0	1.0	11.0
457	0	3.317	0.0	0.0	10.853	0.0	-0.048	4.028	7.022	4.809	0.0	0	0	0	2	7	0	3.317	172.265	172.146	-3.038	248.551	12	11	20	20	32	31	0	8	0	0	0	0	0	22	1	0	10	1	10	1	12	12	202.53	0.129	403.547	0.122	344.534	0.67456	1.16666	82.7686	98.1075	375.982	788.964	1.19819	38.3421	2.41829	0.67456	88.8118	98.1075	468.196	9.2342	5.80806	4.09673	0.28867	2.58195	8.26624	4.96469	2.96923	0.05892	1.78977	2.92703	3.06307	265.0	44	12.0	11.63	9.0909	8.72407	9.0	8.63	8.45508	12.0	11.0	11.0	1.0	10.0
461	0	3.294	0.0	0.0	10.766	3.395	-0.228	3.97	5.039	4.722	0.0	0	0	2	2	5	0	3.294	170.249	170.131	-3.129	240.208	12	11	18	18	30	29	0	7	0	0	0	0	0	20	1	1	9	2	9	2	12	12	198.51	0.132	397.086	0.124	342.247	0.83367	0.5	82.7686	98.1075	375.982	788.964	1.23095	36.9288	3.08496	0.86052	88.8118	98.1075	468.196	9.2342	5.80806	4.09673	0.28867	2.58195	8.00673	4.64139	2.65019	0.04811	1.51487	3.17398	3.32141	265.0	44	12.0	11.37	9.0909	8.46643	9.0	8.36999	8.02194	12.0	11.0	11.0	1.0	10.0
463	0	6.967	0.0	0.0	11.122	0.0	-0.032	4.133	18.532	4.909	0.0	0	0	0	2	15	0	6.967	284.477	284.272	-7.39	419.697	20	19	36	36	56	55	0	16	0	0	0	0	0	38	1	0	18	1	18	1	20	20	330.25	0.079	601.786	0.082	508.628	0.43289	2.45097	175.251	199.421	384.911	630.919	1.10778	62.0359	1.87095	0.43289	181.177	199.421	467.0925	14.8911	9.80805	6.92516	0.28867	4.58195	13.9231	8.96469	5.79766	0.05892	3.78977	2.95617	3.02347	269.0	76	20.0	19.63	17.0526	16.6837	17.0	16.63	16.375	20.0	19.0	19.0	1.0	18.0
465	0	2.981	10.171	1.274	11.011	0.0	-0.094	1.828	2.8	4.84	0.0	5	1	0	1	4	0	2.981	192.254	192.115	-3.269	244.72	14	14	16	16	30	30	6	6	6	1	1	1	1	18	6	0	10	4	7	1	12	14	205.1	0.128	408.33	0.121	355.253	0.71589	0.82212	125.845	160.0	615.064	630.919	1.2729	38.1872	2.98522	0.78406	115.968	134.606	637.214	10.2258	6.82569	5.32878	0.49279	3.81551	8.53167	5.02182	3.14417	0.17677	1.9945	2.13601	2.20592	372.0	60	12.0714	10.9278	7.3125	6.32593	5.48096	4.61569	4.93776	14.0	14.0	16.0	2.0	17.0
467	0	2.525	9.937	1.176	10.994	0.0	-0.12	1.819	1.699	4.824	0.0	5	1	0	1	3	0	2.525	178.228	178.099	-2.79	223.327	13	13	14	14	27	27	6	5	6	1	1	1	1	16	6	0	9	4	6	1	11	13	189.14	0.139	383.55	0.129	334.741	0.6887	0.88536	114.009	147.207	503.333	630.919	1.29723	35.0252	2.81507	0.76073	104.676	122.211	524.987	9.51866	6.32569	4.97523	0.49279	3.57393	7.82456	4.52182	2.79061	0.17677	1.76594	2.24883	2.33	290.0	56	11.0769	9.93438	6.45333	5.48785	4.6875	3.85357	4.19373	13.0	13.0	15.0	2.0	16.0
468	0	1.036	0.0	0.0	10.189	0.0	-0.123	3.574	0.972	4.552	0.0	0	0	0	2	2	0	1.036	102.132	102.068	-0.65	141.585	7	6	10	10	17	16	0	3	0	0	0	0	0	12	1	0	5	1	5	1	7	7	122.7	0.214	279.648	0.177	241.975	0.89822	0.28571	33.0587	43.0196	76.8589	170.835	1.33282	22.6579	2.52164	0.89822	39.3515	43.0196	118.701	5.69867	3.30806	2.30209	0.28867	1.47839	4.73071	2.46469	1.15857	0.05892	0.594	2.79915	3.06893	50.0	24	7.0	6.63	4.16666	3.80762	3.83999	3.46066	3.60636	7.0	6.0	6.0	1.0	5.0
480	0	4.686	0.0	0.0	10.994	0.0	-0.039	4.088	11.259	4.862	0.0	0	0	0	2	10	0	4.686	214.344	214.193	-4.645	312.731	15	14	26	26	41	40	0	11	0	0	0	0	0	28	1	0	13	1	13	1	15	15	250.43	0.105	477.887	0.103	406.069	0.56228	1.71009	115.968	134.606	683.285	630.919	1.15469	47.3425	2.19679	0.56228	121.951	134.606	808.996	11.3555	7.30806	5.15739	0.28867	3.33195	10.3876	6.46468	4.02989	0.05892	2.53977	2.93561	3.03497	530.0	56	15.0	14.63	12.0714	11.7034	11.929	11.5571	11.4147	15.0	14.0	14.0	1.0	13.0
482	0	1.949	0.0	0.0	10.579	0.0	-0.07	3.878	3.073	4.704	0.0	0	0	0	2	4	0	1.949	130.185	130.099	-1.516	184.371	9	8	14	14	23	22	0	5	0	0	0	0	0	16	1	0	7	1	7	1	9	9	154.63	0.17	329.207	0.15	282.998	0.78969	0.66666	51.9218	64.0	165.677	358.201	1.26467	29.0875	2.50325	0.78969	58.0739	64.0	226.676	7.11288	4.30806	3.03607	0.28867	1.83195	6.14492	3.46469	1.90857	0.05892	1.03977	2.90844	3.11117	108.0	32	9.0	8.63	6.125	5.76106	5.87755	5.50192	5.52421	9.0	8.0	8.0	1.0	7.0
553	0	2.718	0.0	0.0	10.31	0.0	-0.167	3.637	6.602	4.783	0.0	0	0	0	2	6	0	2.718	158.238	158.131	-2.78	227.158	11	10	18	18	29	28	0	7	0	0	0	0	0	20	1	0	9	1	9	1	11	11	186.68	0.14	378.767	0.13	324.022	0.69491	1.05542	72.1928	86.4386	303.676	622.885	1.21701	35.2935	2.404	0.69491	78.2645	86.4386	385.2	8.52709	5.27005	3.95028	0.40824	2.13502	7.55913	4.40403	2.75425	0.08333	1.55321	2.74461	2.88404	212.0	40	11.0	10.63	8.1	7.73384	10.0	9.63	7.4737	11.0	10.0	10.0	1.0	8.0
555	0	3.841	0.0	0.0	10.909	0.0	-0.044	4.184	8.092	5.023	0.0	0	0	0	2	8	0	3.841	186.291	186.162	-3.476	269.944	13	12	22	22	35	34	0	9	0	0	0	0	0	24	1	0	11	1	11	1	13	13	218.49	0.12	428.327	0.115	365.045	0.63393	1.35458	93.6032	110.039	467.323	975.213	1.18181	41.3637	2.34585	0.63393	99.6227	110.039	570.477	9.9413	6.30806	4.45028	0.28867	2.83195	8.97334	5.46469	3.38468	0.05892	1.96506	2.91533	3.05556	340.0	48	13.0	12.63	10.0833	9.71598	9.91735	9.54477	9.43945	13.0	12.0	12.0	1.0	11.0
560	0	3.847	0.0	0.0	11.009	0.0	-0.074	5.914	6.595	5.044	0.009	0	0	0	3	6	1	3.847	186.291	186.162	-3.421	269.944	13	12	22	22	35	34	0	8	0	0	0	0	0	25	1	0	11	1	11	1	12	13	220.11	0.119	418.634	0.118	356.583	0.71708	1.04689	98.1059	122.211	456.599	974.765	1.18181	41.3637	2.65354	0.71708	99.6227	110.039	559.753	10.1044	6.18073	4.77774	0.56903	3.15109	9.13648	5.3474	3.73641	0.33678	1.96361	3.00798	3.15168	330.0	50	13.0	12.63	8.59171	8.23833	8.33333	7.97393	8.00386	13.0	12.0	13.0	2.0	12.0
561	0	5.666	0.0	0.0	11.342	0.0	-0.003	4.408	13.229	5.189	0.0	0	0	0	2	12	0	5.666	242.397	242.225	-5.462	355.517	17	16	30	30	47	46	0	13	0	0	0	0	0	32	1	0	15	1	15	1	17	17	282.36	0.093	527.446	0.093	447.092	0.50308	2.03113	139.152	160.0	935.642	630.919	1.13309	53.2556	2.05632	0.50308	145.108	160.0	467.0925	12.7697	8.30806	5.8645	0.28867	3.85095	11.8018	7.46469	4.79889	0.05892	2.99539	3.03298	3.14949	760.0	64	17.0	16.63	14.0625	13.694	13.9378	13.5663	13.3959	17.0	16.0	16.0	1.0	15.0
590	0	1.952	0.0	0.0	10.22	3.882	-0.222	3.517	2.604	4.662	0.0	0	0	2	2	3	0	1.952	142.196	142.099	-2.193	197.421	10	9	14	14	24	23	0	5	0	0	0	0	0	16	1	1	7	2	7	2	10	10	166.96	0.157	347.527	0.142	301.224	0.84462	0.39999	61.9006	75.0586	232.888	479.463	1.28067	30.7361	2.92192	0.87958	68.0077	75.0586	303.997	7.81999	4.77005	3.59673	0.40824	1.88502	6.59251	3.55386	2.06266	0.08333	1.00483	2.96997	3.14158	158.0	36	10.0	9.36999	7.11111	6.48947	9.14285	8.52698	6.08063	10.0	9.0	9.0	1.0	7.0
594	0	2.917	0.0	0.0	10.742	7.166	-0.262	3.861	2.305	4.851	0.0	0	0	4	2	3	0	2.917	168.233	168.115	-2.986	231.865	12	11	16	16	28	27	0	6	0	0	0	0	0	18	1	2	8	3	8	3	12	12	194.84	0.134	390.626	0.126	339.961	0.89781	0.16666	82.7686	98.1075	375.982	788.964	1.2638	35.3867	3.41829	0.9535	88.8118	98.1075	468.196	9.2342	5.80806	4.09673	0.28867	2.58195	7.74721	4.25321	2.33582	0.04811	1.23395	3.18256	3.35112	265.0	44	12.0	11.11	9.0909	8.20891	9.0	8.10999	7.60008	12.0	11.0	11.0	1.0	10.0
607	0	3.516	9.638	0.996	11.398	4.111	-0.157	2.081	2.659	5.102	0.0	5	1	2	1	4	0	3.516	218.292	218.131	-4.115	279.164	16	16	18	18	34	34	6	7	6	1	1	1	1	20	6	1	11	5	8	2	14	16	233.28	0.112	451.429	0.109	393.99	0.7861	0.54718	149.984	186.117	865.707	630.919	1.25329	42.6121	3.45281	0.8632	139.152	160.0	890.151	11.64	7.82569	6.04779	0.49279	4.26092	9.68637	5.67164	3.55117	0.17677	2.14122	2.12929	2.20899	563.0	68	14.0625	12.6585	9.07407	7.82669	7.05817	5.93749	6.19215	16.0	16.0	18.0	2.0	19.0
612	0	3.396	0.0	0.0	10.988	4.131	-0.064	4.153	4.955	5.0	0.0	0	0	2	2	6	0	3.396	184.275	184.146	-3.285	261.601	13	12	20	20	33	32	0	8	0	0	0	0	0	22	1	1	10	2	10	2	13	13	214.74	0.122	421.866	0.117	362.759	0.81028	0.61538	93.6032	110.039	464.754	975.899	1.21129	39.9727	3.08505	0.83369	99.6227	110.039	567.908	9.94131	6.30806	4.45028	0.28867	2.85095	8.71383	5.11452	2.99235	0.05892	1.68439	3.09678	3.25221	336.0	48	13.0	12.37	10.0833	9.45795	9.91735	9.28286	8.9996	13.0	12.0	12.0	1.0	11.0
614	0	3.926	9.113	0.632	11.455	0.0	-0.216	2.162	5.049	5.135	0.0	5	1	0	1	5	0	3.926	206.281	206.131	-3.874	266.113	15	15	18	18	33	33	6	7	6	1	1	1	1	20	6	0	11	4	8	1	13	15	220.7	0.119	433.11	0.114	375.765	0.68815	0.98365	137.838	172.974	731.401	630.919	1.25153	41.3006	2.92323	0.74822	127.465	147.207	755.907	10.9329	7.34253	5.57826	0.40236	4.21758	9.23878	5.56471	3.5626	0.125	2.24053	2.13111	2.2168	456.0	64	13.0667	11.9222	8.18685	7.18259	5.58448	4.74773	5.70882	15.0	15.0	17.0	2.0	19.0
617	0	3.362	0.0	0.0	10.766	3.133	-0.228	3.962	5.128	4.903	0.0	0	0	2	2	5	0	3.362	170.249	170.131	-3.098	240.208	12	11	18	18	30	29	0	7	0	0	0	0	0	20	1	1	9	2	9	2	12	12	198.59	0.132	397.086	0.124	342.247	0.78863	0.66666	82.7686	98.1075	375.982	788.964	1.23095	36.9288	2.91829	0.81403	88.8118	98.1075	468.196	9.2342	5.80806	4.09673	0.28867	2.58195	8.00673	4.60338	2.72815	0.04811	1.54496	3.01774	3.17866	265.0	44	12.0	11.37	9.0909	8.46643	9.0	8.36999	8.02194	12.0	11.0	11.0	1.0	10.0
618	0	3.385	0.0	0.0	10.853	0.0	-0.048	4.154	6.716	4.99	0.0	0	0	0	2	7	0	3.385	172.265	172.146	-2.951	248.551	12	11	20	20	32	31	0	8	0	0	0	0	0	22	1	0	10	1	10	1	12	12	202.53	0.129	403.547	0.122	344.534	0.67456	1.16666	82.7686	98.1075	375.982	788.964	1.19819	38.3421	2.41829	0.67456	88.8118	98.1075	468.196	9.2342	5.80806	4.09673	0.28867	2.58195	8.26624	4.96469	3.03113	0.05892	1.71506	2.91183	3.06803	265.0	44	12.0	11.63	9.0909	8.72407	9.0	8.63	8.45508	12.0	11.0	11.0	1.0	10.0
620	0	4.297	0.0	0.0	11.128	0.0	-0.019	4.312	9.148	5.096	0.0	0	0	0	2	9	0	4.297	200.318	200.178	-3.905	291.337	14	13	24	24	38	37	0	10	0	0	0	0	0	26	1	0	12	1	12	1	14	14	234.46	0.112	453.107	0.109	385.557	0.59646	1.53641	104.676	122.211	564.955	630.919	1.16743	44.3626	2.27094	0.59646	110.675	122.211	679.281	10.6484	6.80806	4.80384	0.28867	3.10095	9.68045	5.96469	3.73823	0.05892	2.24539	2.99488	3.1359	420.0	52	14.0	13.63	11.0769	10.7092	11.0	10.63	10.4261	14.0	13.0	13.0	1.0	12.0
