	ACTIVITY	ALogP98	ES_Sum_aaCH	ES_Sum_aasC	ES_Sum_dO	ES_Sum_dsCH	ES_Sum_dssC	ES_Sum_sCH3	ES_Sum_ssCH2	ES_Sum_ssO	ES_Sum_sssCH	ES_Count_aaCH	ES_Count_aasC	ES_Count_dsCH	ES_Count_sCH3	ES_Count_ssCH2	ES_Count_sssCH	LogD	Molecular_Weight	Molecular_Mass	Molecular_Solubility	VSA_TotalArea	Num_Atoms	Num_Bonds	Num_Hydrogens	Num_ExplicitHydrogens	Num_ExplicitAtoms	Num_ExplicitBonds	Num_RingBonds	Num_RotatableBonds	Num_AromaticBonds	Num_Rings	Num_AromaticRings	Num_RingAssemblies	Num_Rings6	Num_Chains	Num_ChainAssemblies	Num_StereoBonds	Num_SingleBonds	Num_DoubleBonds	Num_AliphaticSingleBonds	Num_AliphaticDoubleBonds	Num_AtomClasses	Organic_Count	Molecular_SurfaceArea	Molecular_FractionalPolarSurfaceArea	Molecular_SASA	Molecular_FractionalPolarSASA	Molecular_SAVol	BIC	CIC	E_ADJ_equ	E_ADJ_mag	E_DIST_equ	E_DIST_mag	IAC_Mean	IAC_Total	IC	SIC	V_ADJ_equ	V_ADJ_mag	V_DIST_equ	CHI_0	CHI_1	CHI_2	CHI_3_C	CHI_3_P	CHI_V_0	CHI_V_1	CHI_V_2	CHI_V_3_C	CHI_V_3_P	JX	JY	Wiener	Zagreb	Kappa_1	Kappa_1_AM	Kappa_2	Kappa_2_AM	Kappa_3	Kappa_3_AM	PHI	SC_0	SC_1	SC_2	SC_3_C	SC_3_P
622	0	3.391	0.0	0.0	10.953	0.0	-0.078	5.877	5.224	5.011	0.01	0	0	0	3	5	1	3.391	172.265	172.146	-2.897	248.551	12	11	20	20	32	31	0	7	0	0	0	0	0	23	1	0	10	1	10	1	11	12	204.14	0.128	393.854	0.125	336.071	0.76754	0.83333	86.9518	110.039	365.44	788.679	1.19819	38.3421	2.75162	0.76754	88.8118	98.1075	457.654	9.39734	5.68073	4.42418	0.56903	2.90109	8.42938	4.8474	3.38285	0.33678	1.71361	3.02189	3.18281	256.0	46	12.0	11.63	7.63888	7.2883	7.43801	7.08266	7.06358	12.0	11.0	12.0	2.0	11.0
623	0	3.637	0.0	0.0	11.063	0.0	-0.05	6.223	5.795	5.06	0.405	0	0	0	3	6	1	3.637	186.291	186.162	-3.218	269.944	13	12	22	22	35	34	0	8	0	0	0	0	0	25	1	0	11	1	11	1	12	13	220.22	0.119	418.634	0.118	356.583	0.79212	0.76923	98.1059	122.211	453.972	975.887	1.18181	41.3637	2.9312	0.79212	99.6227	110.039	557.126	10.1044	6.1639	4.93761	0.69692	2.67425	9.13648	5.32053	3.8791	0.46717	1.83585	3.05654	3.20992	326.0	50	13.0	12.63	8.59171	8.23833	9.91735	9.54477	8.00386	13.0	12.0	13.0	2.0	11.0
625	0	3.961	9.698	1.014	11.422	0.0	-0.123	2.168	5.497	5.153	0.0	5	1	0	1	6	0	3.961	220.307	220.146	-4.226	287.507	16	16	20	20	36	36	6	8	6	1	1	1	1	22	6	0	12	4	9	1	14	16	237.04	0.11	457.89	0.108	396.277	0.71214	0.92218	149.984	186.117	865.707	630.919	1.23266	44.3758	3.07781	0.76945	139.152	160.0	890.151	11.64	7.82569	6.04779	0.49279	4.26092	9.94588	6.02182	3.9435	0.17677	2.45222	2.06023	2.13755	563.0	68	14.0625	12.9173	9.07407	8.05482	7.05817	6.14112	6.50293	16.0	16.0	18.0	2.0	19.0
626	0	5.21	0.0	0.0	11.286	0.0	-0.007	4.381	11.848	5.156	0.0	0	0	0	2	11	0	5.21	228.371	228.209	-4.937	334.124	16	15	28	28	44	43	0	12	0	0	0	0	0	30	1	0	14	1	14	1	16	16	266.39	0.098	502.666	0.098	426.581	0.53125	1.875	127.465	147.207	800.081	630.919	1.14332	50.3061	2.125	0.53125	133.433	147.207	937.377	12.0626	7.80806	5.51094	0.28867	3.60095	11.0947	6.96469	4.44534	0.05892	2.74539	3.02739	3.15032	631.0	60	16.0	15.63	13.0667	12.6984	13.0	12.63	12.4047	16.0	15.0	15.0	1.0	14.0
627	0	2.929	0.0	0.0	10.622	0.0	-0.082	3.978	5.748	4.898	0.0	0	0	0	2	6	0	2.929	158.238	158.131	-2.544	227.158	11	10	18	18	29	28	0	7	0	0	0	0	0	20	1	0	9	1	9	1	11	11	186.56	0.14	378.767	0.13	324.022	0.73721	0.90909	72.1928	86.4386	298.618	623.625	1.21701	35.2935	2.55034	0.73721	78.2645	86.4386	380.141	8.52709	5.30806	3.7163	0.28867	2.4974	7.55913	4.46469	2.63468	0.05892	1.54961	2.83439	2.99431	206.0	40	11.0	10.63	8.1	7.73384	7.90123	7.52755	7.4737	11.0	10.0	10.0	1.0	9.0
669	0	3.265	9.067	0.621	11.403	0.0	-0.231	4.215	1.42	5.099	0.568	5	1	0	2	2	1	3.265	192.254	192.115	-3.115	244.72	14	14	16	16	30	30	6	5	6	1	1	1	1	19	6	0	10	4	7	1	11	14	206.46	0.127	398.638	0.124	346.791	0.76308	0.62534	130.454	172.974	592.592	630.919	1.2729	38.1872	3.182	0.83575	115.968	134.606	618.335	10.3889	6.69837	5.70012	0.81061	3.8955	8.69481	4.92055	3.68446	0.53324	1.93784	2.29032	2.38728	352.0	62	12.0714	10.9278	6.4775	5.55289	4.88888	4.08409	4.33435	14.0	14.0	17.0	3.0	18.0
680	0	3.3	9.661	1.006	11.371	0.0	-0.138	4.232	1.836	5.117	0.578	5	1	0	2	3	1	3.3	206.281	206.131	-3.461	266.113	15	15	18	18	33	33	6	6	6	1	1	1	1	21	6	0	11	4	8	1	12	15	222.79	0.118	423.417	0.116	367.302	0.78231	0.58365	142.72	186.117	714.847	630.919	1.25153	41.3006	3.32323	0.8506	127.465	147.207	740.783	11.096	7.18154	6.16966	0.90104	3.93884	9.40191	5.37766	4.06536	0.58502	2.14953	2.18422	2.26935	444.0	66	13.0667	11.9222	7.30246	6.35535	6.22222	5.32798	5.05132	15.0	15.0	18.0	3.0	18.0
691	0	2.877	9.03	0.614	11.326	0.0	-0.242	4.024	0.479	5.05	0.382	5	1	0	2	1	1	2.877	178.228	178.099	-2.696	223.327	13	13	14	14	27	27	6	4	6	1	1	1	1	17	6	0	9	4	6	1	10	13	190.49	0.138	373.858	0.132	326.279	0.74055	0.67345	118.318	160.0	481.404	630.919	1.29723	35.0252	3.02698	0.818	104.676	122.211	506.757	9.68179	6.19837	5.34657	0.81061	3.65392	7.9877	4.42055	3.35833	0.53324	1.55725	2.41729	2.52403	274.0	58	11.0769	9.93438	5.67187	4.77363	4.15224	3.38265	3.64793	13.0	13.0	16.0	3.0	17.0
692	0	2.312	0.0	0.0	10.638	3.088	-0.254	5.794	0.503	4.818	0.411	0	0	2	3	1	1	2.312	142.196	142.099	-1.902	197.421	10	9	14	14	24	23	0	4	0	0	0	0	0	17	1	1	7	2	7	2	9	10	168.39	0.156	337.834	0.146	292.761	0.8228	0.47548	65.3143	86.4386	214.728	481.957	1.28067	30.7361	2.84643	0.85686	68.0077	75.0586	285.837	7.98312	4.6639	3.86504	0.69692	2.01829	6.75565	3.45923	2.52388	0.45636	0.86167	3.23916	3.45307	143.0	38	10.0	9.36999	5.76	5.17822	7.0	6.36999	4.852	10.0	9.0	10.0	2.0	8.0
693	0	2.335	0.0	0.0	10.725	0.0	-0.073	6.022	1.974	4.904	0.445	0	0	0	3	3	1	2.335	144.211	144.115	-1.733	205.764	10	9	16	16	26	25	0	5	0	0	0	0	0	19	1	0	8	1	8	1	9	10	172.32	0.152	344.295	0.143	295.048	0.87958	0.4	65.3143	86.4386	214.728	481.957	1.2389	32.2114	2.92192	0.87958	68.0077	75.0586	285.837	7.98312	4.6639	3.86504	0.69692	2.01829	7.01516	3.82053	2.82685	0.46717	1.03177	3.06326	3.26716	143.0	38	10.0	9.63	5.76	5.4176	7.0	6.63	5.21715	10.0	9.0	10.0	2.0	8.0
697	0	3.704	0.0	0.0	11.088	0.0	-0.038	6.255	5.704	5.044	0.443	0	0	0	3	6	1	3.704	186.291	186.162	-3.193	269.944	13	12	22	22	35	34	0	8	0	0	0	0	0	25	1	0	11	1	11	1	12	13	220.22	0.119	418.634	0.118	356.583	0.818	0.67345	98.1059	122.211	452.421	976.577	1.18181	41.3637	3.02698	0.818	99.6227	110.039	555.575	10.1044	6.1639	4.9257	0.69692	2.78729	9.13648	5.32053	3.88751	0.46717	1.8121	3.08895	3.23988	324.0	50	13.0	12.63	8.59171	8.23833	9.91735	9.54477	8.00386	13.0	12.0	13.0	2.0	11.0
698	0	3.248	0.0	0.0	11.0	0.0	-0.045	6.206	4.382	5.011	0.444	0	0	0	3	5	1	3.248	172.265	172.146	-2.684	248.551	12	11	20	20	32	31	0	7	0	0	0	0	0	23	1	0	10	1	10	1	11	12	204.25	0.128	393.854	0.125	336.071	0.86052	0.5	86.9518	110.039	362.004	790.298	1.19819	38.3421	3.08496	0.86052	88.8118	98.1075	454.218	9.39734	5.6639	4.57215	0.69692	2.53729	8.42938	4.82053	3.53396	0.46717	1.5621	3.09254	3.26001	252.0	46	12.0	11.63	7.63888	7.2883	9.0	8.63	7.06358	12.0	11.0	12.0	2.0	10.0
699	0	2.342	0.0	0.0	10.825	0.0	-0.103	7.714	0.538	4.925	0.431	0	0	0	4	1	2	2.342	144.211	144.115	-1.69	205.764	10	9	16	16	26	25	0	4	0	0	0	0	0	20	1	0	8	1	8	1	8	10	173.93	0.151	334.602	0.148	286.585	0.75917	0.8	68.3444	98.1075	201.793	482.654	1.2389	32.2114	2.52192	0.75917	68.0077	75.0586	272.902	8.14626	4.53658	4.19249	0.97728	2.33743	7.1783	3.70324	3.17858	0.74503	1.03033	3.24244	3.45635	136.0	40	10.0	9.63	4.76033	4.44624	5.53086	5.18252	4.28173	10.0	9.0	11.0	3.0	9.0
703	0	2.911	9.631	1.001	11.294	0.0	-0.149	4.047	0.874	5.068	0.397	5	1	0	2	2	1	2.912	192.254	192.115	-3.038	244.72	14	14	16	16	30	30	6	5	6	1	1	1	1	19	6	0	10	4	7	1	11	14	206.83	0.127	398.638	0.124	346.791	0.76308	0.62534	130.454	172.974	593.563	630.919	1.2729	38.1872	3.182	0.83575	115.968	134.606	618.394	10.3889	6.68154	5.8161	0.90104	3.69726	8.69481	4.87766	3.73923	0.58502	1.76894	2.27641	2.36758	353.0	62	12.0714	10.9278	6.4775	5.55289	5.48096	4.61569	4.33435	14.0	14.0	17.0	3.0	17.0
721	0	0.747	0.0	0.0	10.031	0.0	-0.213	5.044	0.0	4.611	0.025	0	0	0	3	0	1	0.747	102.132	102.068	-0.724	141.585	7	6	10	10	17	16	0	2	0	0	0	0	0	13	1	0	5	1	5	1	6	7	123.87	0.212	269.955	0.183	233.512	0.89822	0.28571	34.7068	53.303	69.3046	171.15	1.33282	22.6579	2.52164	0.89822	39.3515	43.0196	111.147	5.8618	3.12589	3.02339	0.81649	0.9428	4.89384	2.29865	1.65818	0.31903	0.40166	2.91666	3.19427	48.0	26	7.0	6.63	3.06122	2.74563	6.0	5.63	2.60051	7.0	6.0	7.0	2.0	4.0
723	0	2.411	8.981	0.603	11.232	0.0	-0.259	3.668	0.0	4.997	-0.058	5	1	0	2	0	1	2.411	164.201	164.084	-2.393	201.934	12	12	12	12	24	24	6	3	6	1	1	1	1	15	6	0	8	4	5	1	9	12	173.86	0.151	349.078	0.141	305.767	0.71384	0.72957	106.313	147.207	381.578	985.752	1.32501	31.8003	2.85538	0.79649	93.6032	110.039	406.666	8.97469	5.69837	5.00492	0.81061	3.29775	7.28059	3.95933	2.82008	0.3607	1.35223	2.57422	2.69066	209.0	54	10.0833	8.94216	4.88888	4.02182	3.51562	2.78806	2.99698	12.0	12.0	15.0	3.0	16.0
725	0	1.87	0.0	0.0	10.631	0.0	-0.091	5.669	1.406	4.851	0.031	0	0	0	3	2	1	1.87	130.185	130.099	-1.41	184.371	9	8	14	14	23	22	0	4	0	0	0	0	0	17	1	0	7	1	7	1	8	9	155.69	0.168	319.515	0.154	274.536	0.92989	0.22222	54.8575	75.0586	154.826	359.201	1.26467	29.0875	2.9477	0.92989	58.0739	64.0	215.824	7.27602	4.1639	3.52339	0.69692	1.65524	6.30806	3.35931	2.28861	0.29462	0.82127	3.09878	3.32741	102.0	34	9.0	8.63	4.8395	4.50329	5.87755	5.50192	4.31815	9.0	8.0	9.0	2.0	7.0
729	0	2.782	0.0	0.0	10.906	0.0	-0.062	5.864	3.801	4.957	0.031	0	0	0	3	4	1	2.782	158.238	158.131	-2.36	227.158	11	10	18	18	29	28	0	6	0	0	0	0	0	21	1	0	9	1	9	1	10	11	187.62	0.14	369.074	0.134	315.559	0.89488	0.36363	76.0167	98.1075	283.193	625.369	1.21701	35.2935	3.09579	0.89488	78.2645	86.4386	364.717	8.69023	5.1639	4.2305	0.69692	2.17425	7.72227	4.35931	2.99572	0.29462	1.3516	3.09533	3.27257	192.0	42	11.0	10.63	6.69421	6.34718	7.90123	7.52755	6.13369	11.0	10.0	11.0	2.0	9.0
730	0	1.876	0.0	0.0	10.731	0.0	-0.121	7.343	0.0	4.872	0.006	0	0	0	4	0	2	1.876	130.185	130.099	-1.373	184.371	9	8	14	14	23	22	0	3	0	0	0	0	0	18	1	0	7	1	7	1	7	9	157.3	0.167	309.822	0.159	266.073	0.71958	0.88888	57.3464	86.4386	142.542	360.41	1.26467	29.0875	2.28103	0.71958	58.0739	64.0	203.54	7.43915	4.03658	3.85084	0.97728	1.98126	6.47119	3.24202	2.64034	0.57248	0.82326	3.32957	3.57258	96.0	36	9.0	8.63	3.92	3.61658	4.5	4.15424	3.4679	9.0	8.0	10.0	3.0	8.0
731	0	2.122	0.0	0.0	10.841	0.0	-0.093	7.721	0.525	4.922	0.414	0	0	0	4	1	2	2.122	144.211	144.115	-1.686	205.764	10	9	16	16	26	25	0	4	0	0	0	0	0	20	1	0	8	1	8	1	8	10	173.38	0.151	334.602	0.148	286.585	0.63876	1.19999	68.3444	98.1075	199.832	483.331	1.2389	32.2114	2.12192	0.63876	68.0077	75.0586	270.942	8.14626	4.51974	4.36427	1.10517	1.74754	7.1783	3.71515	3.13658	0.70287	0.94206	3.28511	3.49633	135.0	40	10.0	9.63	4.76033	4.44624	7.0	6.63	4.28173	10.0	9.0	11.0	3.0	8.0
736	0	6.432	0.0	0.0	11.291	0.0	-0.037	6.063	15.05	5.103	0.027	0	0	0	3	12	1	6.432	270.451	270.256	-6.637	398.304	19	18	34	34	53	52	0	14	0	0	0	0	0	37	1	0	17	1	17	1	18	19	315.34	0.083	567.313	0.087	479.653	0.56363	1.85364	168.967	199.421	384.911	630.919	1.11545	59.1192	2.39428	0.56363	168.99	186.117	467.0925	14.3471	9.1639	7.05892	0.69692	4.17425	13.3791	8.35931	5.82414	0.29462	3.3516	3.02301	3.1031	269.0	74	19.0	18.63	14.41	14.0479	15.9446	15.5735	13.7743	19.0	18.0	19.0	2.0	17.0
738	0	2.446	9.593	0.993	11.2	0.0	-0.166	3.7	0.36	5.015	-0.032	5	1	0	2	1	1	2.446	178.228	178.099	-2.728	223.327	13	13	14	14	27	27	6	4	6	1	1	1	1	17	6	0	9	4	6	1	10	13	190.19	0.138	373.858	0.132	326.279	0.74055	0.67345	118.318	160.0	482.746	630.919	1.29723	35.0252	3.02698	0.818	104.676	122.211	507.903	9.68179	6.18154	5.47445	0.90104	3.33422	7.9877	4.41644	3.20098	0.41247	1.55843	2.38596	2.48238	276.0	58	11.0769	9.93438	5.67187	4.77363	4.6875	3.85357	3.64793	13.0	13.0	16.0	3.0	16.0
752	0	4.999	0.0	0.0	10.481	0.0	-0.157	3.721	13.744	4.874	0.0	0	0	0	2	11	0	4.999	228.371	228.209	-5.485	334.124	16	15	28	28	44	43	0	12	0	0	0	0	0	30	1	0	14	1	14	1	16	16	266.51	0.098	502.666	0.098	426.581	0.48094	2.0762	127.465	147.207	819.384	630.919	1.14332	50.3061	1.92379	0.48094	133.433	147.207	956.68	12.0626	7.77005	5.71805	0.40824	3.38502	11.0947	6.90402	4.52202	0.08333	2.80321	2.8413	2.92538	667.0	60	16.0	15.63	13.0667	12.6984	15.0769	14.7092	12.4047	16.0	15.0	15.0	1.0	13.0
818	0	2.034	7.8	2.03	10.715	0.0	0.232	3.258	1.436	5.027	0.0	4	2	0	2	2	0	2.034	178.228	178.099	-2.851	223.327	13	13	14	14	27	27	6	4	6	1	1	1	1	17	6	0	9	4	6	1	11	13	193.28	0.136	378.266	0.13	330.142	0.67948	0.92307	118.318	160.0	493.826	630.919	1.29723	35.0252	2.77736	0.75054	104.676	122.211	523.516	9.68179	6.21954	5.26619	0.81649	3.69594	8.04011	4.34497	3.05008	0.33023	1.92479	2.48099	2.556	284.0	58	11.0769	9.93438	5.67187	4.77363	4.15224	3.38265	3.64793	13.0	13.0	16.0	3.0	17.0
820	0	2.678	7.572	1.83	10.996	3.409	0.139	3.478	0.548	5.024	0.0	4	2	2	2	1	0	2.678	190.238	190.099	-3.34	236.377	14	14	14	14	28	28	6	4	6	1	1	1	1	17	6	1	9	5	6	2	12	14	204.85	0.128	396.585	0.124	348.368	0.66087	1.0	130.454	172.974	595.578	630.919	1.29583	36.2834	2.80735	0.73735	115.968	134.606	627.466	10.3889	6.75755	5.38577	0.69692	4.30831	8.4877	4.6092	2.92635	0.24759	1.92593	2.62575	2.70148	355.0	62	12.0714	10.6694	6.4775	5.34789	4.38781	3.47599	4.07564	14.0	14.0	17.0	3.0	19.0
821	0	1.578	7.524	1.852	10.736	0.0	0.18	3.212	0.503	4.989	0.0	4	2	0	2	1	0	1.578	164.201	164.084	-2.404	201.934	12	12	12	12	24	24	6	3	6	1	1	1	1	15	6	0	8	4	5	1	10	12	177.31	0.148	353.486	0.14	309.631	0.6879	0.83333	106.313	147.207	393.448	983.337	1.32501	31.8003	2.75162	0.76754	93.6032	110.039	422.741	8.97469	5.71954	4.92454	0.81649	3.34841	7.333	3.84497	2.72686	0.33023	1.61212	2.6433	2.73061	217.0	54	10.0833	8.94216	4.88888	4.02182	3.51562	2.78806	2.99698	12.0	12.0	15.0	3.0	16.0
832	0	1.685	8.877	0.588	10.791	0.0	-0.292	1.37	0.0	4.497	0.0	5	1	0	1	0	0	1.685	136.148	136.052	-1.728	159.147	10	10	8	8	18	18	6	2	6	1	1	1	1	10	6	0	6	4	3	1	8	10	141.56	0.185	309.211	0.16	273.206	0.69508	0.67548	79.504	110.039	237.394	632.536	1.39214	25.0587	2.64643	0.79665	72.1928	86.4386	257.278	7.39734	4.84253	3.78362	0.40236	3.09851	5.70324	2.97718	1.8576	0.125	1.19488	2.75985	2.88288	121.0	44	8.1	6.96299	4.0	3.12889	2.28571	1.66238	2.17864	10.0	10.0	12.0	2.0	14.0
855	0	1.144	0.0	0.0	10.189	0.0	-0.123	3.342	1.405	4.351	0.0	0	0	0	2	2	0	1.144	102.132	102.068	-0.756	141.585	7	6	10	10	17	16	0	3	0	0	0	0	0	12	1	0	5	1	5	1	7	7	123.39	0.213	279.648	0.177	241.975	0.89822	0.28571	33.0587	43.0196	76.8589	170.835	1.33282	22.6579	2.52164	0.89822	39.3515	43.0196	118.701	5.69867	3.30806	2.30209	0.28867	1.47839	4.73071	2.37715	1.32613	0.05892	0.68179	2.81727	3.06302	50.0	24	7.0	6.63	4.16666	3.80762	3.83999	3.46066	3.60636	7.0	6.0	6.0	1.0	5.0
858	0	2.153	9.585	0.988	10.676	3.112	-0.335	1.358	0.0	4.446	0.0	5	1	2	1	0	0	2.153	162.185	162.068	-2.722	193.591	12	12	10	10	22	22	6	3	6	1	1	1	1	12	6	1	7	5	4	2	10	12	169.59	0.155	352.31	0.14	311.943	0.69857	0.72957	102.337	134.606	407.52	982.221	1.34858	29.6689	2.85538	0.79649	93.6032	110.039	427.463	8.81155	5.82569	4.5948	0.49279	3.48938	6.85794	3.63786	2.26717	0.14433	1.41262	2.57067	2.65978	226.0	52	10.0833	8.68442	5.61224	4.4643	4.0	3.03241	3.23082	12.0	12.0	14.0	2.0	15.0
864	0	2.147	0.0	0.0	10.944	0.0	-0.015	1.469	5.742	4.65	0.207	0	0	0	1	5	1	2.147	142.196	142.099	-1.824	184.176	10	10	14	14	24	24	6	2	0	1	0	1	1	16	6	0	9	1	9	1	8	10	151.96	0.173	330.188	0.149	284.292	0.76499	0.67548	79.504	110.039	237.394	632.536	1.28067	30.7361	2.64643	0.79665	72.1928	86.4386	257.278	7.39734	4.84253	3.78362	0.40236	3.09851	6.42938	3.92166	2.85809	0.19245	2.13968	2.23146	2.33783	121.0	44	8.1	7.73384	4.0	3.7145	2.28571	2.07764	2.87273	10.0	10.0	12.0	2.0	14.0
873	0	3.413	0.0	0.0	10.604	7.065	-0.308	3.554	4.814	4.435	0.0	0	0	4	2	4	0	3.413	182.259	182.131	-3.84	253.258	13	12	18	18	31	30	0	7	0	0	0	0	0	20	1	2	9	3	9	3	13	13	211.23	0.124	415.406	0.119	360.473	0.82902	0.46153	93.6032	110.039	471.193	974.432	1.24089	38.4677	3.2389	0.87527	99.6227	110.039	574.347	9.94131	6.30806	4.42341	0.28867	2.9974	8.45432	4.72052	2.80621	0.04811	1.65503	3.30705	3.42832	346.0	48	13.0	12.11	10.0833	9.2	9.91735	9.02087	8.57016	13.0	12.0	12.0	1.0	11.0
897	0	2.512	0.0	0.0	10.552	0.0	-0.087	3.583	5.125	4.491	0.0	0	0	0	2	5	0	2.512	144.211	144.115	-2.215	205.764	10	9	16	16	26	25	0	6	0	0	0	0	0	18	1	0	8	1	8	1	10	10	171.29	0.153	353.987	0.139	303.51	0.79665	0.67548	61.9006	75.0586	228.191	480.284	1.2389	32.2114	2.64643	0.79665	68.0077	75.0586	299.3	7.81999	4.80806	3.36275	0.28867	2.2474	6.85203	3.87715	2.38679	0.05892	1.46212	2.84795	2.99889	153.0	36	10.0	9.63	7.11111	6.74587	7.0	6.63	6.49627	10.0	9.0	9.0	1.0	8.0
903	0	2.056	0.0	0.0	10.464	0.0	-0.094	3.533	3.805	4.457	0.0	0	0	0	2	4	0	2.056	130.185	130.099	-1.706	184.371	9	8	14	14	23	22	0	5	0	0	0	0	0	16	1	0	7	1	7	1	9	9	155.32	0.169	329.207	0.15	282.998	0.85979	0.44444	51.9218	64.0	167.968	357.523	1.26467	29.0875	2.72548	0.85979	58.0739	64.0	228.967	7.11288	4.30806	3.0092	0.28867	1.9974	6.14492	3.37715	2.03323	0.05892	1.21212	2.84135	3.01601	110.0	32	9.0	8.63	6.125	5.76106	5.87755	5.50192	5.52421	9.0	8.0	8.0	1.0	7.0
907	0	1.612	0.0	0.0	10.413	3.752	-0.181	3.412	1.362	4.406	0.0	0	0	2	2	2	0	1.611	128.169	128.084	-1.676	176.028	9	8	12	12	21	20	0	4	0	0	0	0	0	14	1	1	6	2	6	2	9	9	151.57	0.173	322.747	0.153	280.712	0.82045	0.44444	51.9218	64.0	167.968	357.523	1.31274	27.5676	2.72548	0.85979	58.0739	64.0	228.967	7.11288	4.30806	3.0092	0.28867	1.9974	5.88541	3.02698	1.6599	0.05892	0.91455	3.12121	3.30881	110.0	32	9.0	8.36999	6.125	5.50568	5.87755	5.23765	5.12028	9.0	8.0	8.0	1.0	7.0
917	0	1.15	0.0	0.0	10.289	0.0	-0.153	4.986	0.0	4.372	0.004	0	0	0	3	0	1	1.15	102.132	102.068	-0.712	141.585	7	6	10	10	17	16	0	2	0	0	0	0	0	13	1	0	5	1	5	1	6	7	125.0	0.21	269.955	0.183	233.512	0.89822	0.28571	34.7068	53.303	66.285	172.205	1.33282	22.6579	2.52164	0.89822	39.3515	43.0196	108.127	5.8618	3.18073	2.62954	0.56903	1.78202	4.89384	2.25987	1.67786	0.33678	0.67258	3.15009	3.41927	46.0	26	7.0	6.63	3.06122	2.74563	2.66666	2.34047	2.60051	7.0	6.0	7.0	2.0	6.0
